title,link,first_paragraph,page_length,para_length,article_id
Natitingou,https://fr.wikipedia.org/wiki/Natitingou,"Natitingou est une ville du nord-ouest du Bénin, chef-lieu de la commune du même nom et préfecture d",17617.0,100,1
Parc national de la Pendjari,https://fr.wikipedia.org/wiki/Parc_national_de_la_Pendjari,"Le parc national de la Pendjari (PNP) est une aire protégée du Bénin, située à l'extrême nord-ouest ",11167.0,100,2
Batammariba,https://fr.wikipedia.org/wiki/Batammariba,"Les Batammariba2,3 ou Bètãmmaribè (au singulier Otãmmari) constituent une population d'Afrique de l'",10042.0,100,3
Temple des Pythons,https://fr.wikipedia.org/wiki/Temple_des_Pythons,"Le temple des Pythons est un sanctuaire vaudou situé à Ouidah (Bénin), dans un lieu où l'existence d",8052.0,100,4
Parc national du W du Bénin,https://fr.wikipedia.org/wiki/Parc_national_du_W_du_B%C3%A9nin,"Le parc national du W est une aire protégée du Bénin, constituée par la réserve de biosphère transfr",7669.0,100,5
Péhunco,https://fr.wikipedia.org/wiki/P%C3%A9hunco,Pehunco (ou Ouassa-Péhunco) est une ville du nord-ouest du Bénin et l'une des neuf préfectures du dé,4831.0,100,6
Ouidah,https://fr.wikipedia.org/wiki/Ouidah,"Ouidah, autrefois également appelée Ajudá2 est une commune du Bénin, située à 42 kilomètres de Coton",3914.0,100,7
Abomey-Calavi,https://fr.wikipedia.org/wiki/Abomey-Calavi,"Abomey-Calavi (à ne pas confondre avec Abomey) est une ville du sud du Bénin, chef-lieu de la commun",3654.0,100,8
Boukoumbé,https://fr.wikipedia.org/wiki/Boukoumb%C3%A9,"Boukoumbé (ou Boukombé) est l'une des neuf communes du département de l'Atacora, au nord-ouest du Bé",3586.0,100,9
Forêt classée de la Lama,https://fr.wikipedia.org/wiki/For%C3%AAt_class%C3%A9e_de_la_Lama,"La forêt classée de la Lama est une aire protégée du Bénin, classée en 1946, située au sud du pays, ",3361.0,100,10
