article_id,title,link,paragraph
1,Bemba people,https://en.wikipedia.org/wiki/Bemba_people,"The Bemba belong to a large group of Bantu peoples mainly in the Northern, Luapula, Muchinga, and the Northern part of Central Province of Zambia. Som"
2,Federation of Rhodesia and Nyasaland,https://en.wikipedia.org/wiki/Federation_of_Rhodesia_and_Nyasaland,"An agreement would likely not have been reached without Sir Andrew Cohen, CO Assistant Undersecretary for African Affairs (and a later Governor of Uga"
3,Mosi-oa-Tunya National Park,https://en.wikipedia.org/wiki/Mosi-oa-Tunya_National_Park,"The wildlife park includes tall riverine forest with palm trees, miombo woodland and grassland with plenty of birds, and animals including Angolan gir"
4,Federation of Rhodesia and Nyasaland,https://en.wikipedia.org/wiki/Federation_of_Rhodesia_and_Nyasaland,Decisive factors in both the creation and dissolution of the Federation were the significant difference between the number of Africans and Europeans i
5,Copperbelt strike (1935),https://en.wikipedia.org/wiki/Copperbelt_strike_(1935),"The strike involved three of the province's four major copper mines: the mines at Mufulira, Nkana and Roan Antelope.[16] On the morning of 21 May 1935"
6,Provinces of Zambia,https://en.wikipedia.org/wiki/Provinces_of_Zambia,Provincial government is setup purely for administrative purposes. The province is headed by a minister appointed by the President and there are minis
7,Copperbelt strike (1935),https://en.wikipedia.org/wiki/Copperbelt_strike_(1935),"The Copperbelt was a region of Northern Rhodesia known for its rich copper ore deposits. Cecil John Rhodes, a British capitalist and empire builder, w"
8,Mwanga (ethnic group),https://en.wikipedia.org/wiki/Mwanga_(ethnic_group),The Winamwanga people are believed to have come from North East Africa together with the Tonga/Ila people of Southern province at about 900 BC. Hence 
9,Northern Rhodesia,https://en.wikipedia.org/wiki/Northern_Rhodesia,"British missionaries had already established themselves in Nyasaland, and in 1890 the British government's Colonial Office sent Harry Johnston to this"
10,Silimba,https://en.wikipedia.org/wiki/Silimba,"The mbila (plural ""timbila"") is associated with the Chopi people of the Inhambane Province, in southern Mozambique.[10] It is not to be confused with "
11,Mufulira Wanderers,https://en.wikipedia.org/wiki/Mufulira_Wanderers,"In April 1962, Wanderers' home ground Shinde Stadium was opened and Tolomeo Mwansa joined the team as first choice goalkeeper. It was Hastings George "
12,"Northern Province, Zambia","https://en.wikipedia.org/wiki/Northern_Province,_Zambia","As per the 2010 Zambian census, Northern Province had a population of 1,105,824 accounting to 8.47% of the total Zambian population of 13,092,666. The"
13,Christianity in Zambia,https://en.wikipedia.org/wiki/Christianity_in_Zambia,"Livingstone, though certainly at the vanguard of the colonisers, and in that capacity he spelled the end to traditional Zambian society, he is still h"
14,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"In March 1929, the UK's Colonial Office sent a telegram to the Northern Rhodesian government recommending that the capital of the territory be moved, "
15,Christianity in Zambia,https://en.wikipedia.org/wiki/Christianity_in_Zambia,"Following Livingstone's death in 1873, at Ilala by the shores of Lake Bangweulu in North Eastern Zambia, and the subsequent development of preventativ"
16,Tumbuka,https://en.wikipedia.org/wiki/Tumbuka_people,"Although a British protectorate over what is now Malawi was proclaimed in 1891, the Northern Ngoni only finally accepted British rule in 1904, when th"
17,Zambia Airways,https://en.wikipedia.org/wiki/Zambia_Airways,"Aimed at returning the carrier to profitability, Lufthansa was hired in January 1986 to carry out a study over the performance of the technical and op"
