article_id,title,link,paragraph
1,"Western Province, Zambia","https://en.wikipedia.org/wiki/Western_Province,_Zambia",Central Government Provincial administration is setup purely for administrative purposes. The province is headed by a Provincial Minister appointed by
2,"Eastern Province, Zambia","https://en.wikipedia.org/wiki/Eastern_Province,_Zambia","Provincial administration in Zambia is set up purely for administrative purposes. The province is headed by a minister appointed by the President, as "
3,"Central Province, Zambia","https://en.wikipedia.org/wiki/Central_Province,_Zambia",The provincial administration is set up purely for administrative purposes. The province is headed by a minister appointed by the President and there 
4,Bemba people,https://en.wikipedia.org/wiki/Bemba_people,"The Bemba belong to a large group of Bantu peoples mainly in the Northern, Luapula, Muchinga, and the Northern part of Central Province of Zambia. Som"
5,Copperbelt Province,https://en.wikipedia.org/wiki/Copperbelt_Province,Provincial administration is set up purely for administrative purposes. The province is headed by a minister appointed by the President and there are 
6,Federation of Rhodesia and Nyasaland,https://en.wikipedia.org/wiki/Federation_of_Rhodesia_and_Nyasaland,"An agreement would likely not have been reached without Sir Andrew Cohen, CO Assistant Undersecretary for African Affairs (and a later Governor of Uga"
7,Mosi-oa-Tunya National Park,https://en.wikipedia.org/wiki/Mosi-oa-Tunya_National_Park,"The wildlife park includes tall riverine forest with palm trees, miombo woodland and grassland with plenty of birds, and animals including Angolan gir"
8,Copperbelt strike (1935),https://en.wikipedia.org/wiki/Copperbelt_strike_(1935),"The strike involved three of the province's four major copper mines: the mines at Mufulira, Nkana and Roan Antelope.[16] On the morning of 21 May 1935"
9,Provinces of Zambia,https://en.wikipedia.org/wiki/Provinces_of_Zambia,Provincial government is setup purely for administrative purposes. The province is headed by a minister appointed by the President and there are minis
10,Tonga people of Zambia and Zimbabwe,https://en.wikipedia.org/wiki/Tonga_people_of_Zambia_and_Zimbabwe,The Longitudinal Gwembe Tonga Research project a 50 year study took place in southern Zambia uses carrying capacityto explain general social processes
11,Mwanga (ethnic group),https://en.wikipedia.org/wiki/Mwanga_(ethnic_group),The Winamwanga people are believed to have come from North East Africa together with the Tonga/Ila people of Southern province at about 900 BC. Hence 
12,Northern Rhodesia,https://en.wikipedia.org/wiki/Northern_Rhodesia,"British missionaries had already established themselves in Nyasaland, and in 1890 the British government's Colonial Office sent Harry Johnston to this"
13,Silimba,https://en.wikipedia.org/wiki/Silimba,"The mbila (plural ""timbila"") is associated with the Chopi people of the Inhambane Province, in southern Mozambique.[10] It is not to be confused with "
14,Mufulira Wanderers,https://en.wikipedia.org/wiki/Mufulira_Wanderers,"In April 1962, Wanderers' home ground Shinde Stadium was opened and Tolomeo Mwansa joined the team as first choice goalkeeper. It was Hastings George "
15,"Northern Province, Zambia","https://en.wikipedia.org/wiki/Northern_Province,_Zambia","As per the 2010 Zambian census, Northern Province had a population of 1,105,824 accounting to 8.47% of the total Zambian population of 13,092,666. The"
